date,sku_id,price,discount_percent,competitor_price,web_traffic,units_sold
2025-05-20,SKU0,69.21,0.0,65.93,248,33
2025-05-21,SKU0,68.19,0.0,67.22,265,22
2025-05-22,SKU0,67.19,0.0,68.25,252,3
2025-05-23,SKU0,71.7,0.0,65.04,278,0
2025-05-24,SKU0,72.31,0.0,66.19,278,0
2025-05-25,SKU0,70.05,0.0,71.83,272,0
2025-05-26,SKU0,68.63,0.0,67.36,253,0
2025-05-27,SKU0,67.85,0.0,66.94,278,0
2025-05-28,SKU0,70.13,0.0,66.73,285,21
2025-05-29,SKU0,71.66,0.0,74.37,254,34
2025-05-30,SKU0,73.63,0.0,66.41,259,29
2025-05-31,SKU0,68.67,0.0,70.14,251,28
2025-06-01,SKU0,71.67,0.0,65.13,237,35
2025-06-02,SKU0,68.01,0.0,73.26,291,25
2025-06-03,SKU0,68.16,0.0,69.43,264,23
2025-06-04,SKU0,73.09,0.0,70.61,260,18
2025-06-05,SKU0,68.99,0.0,66.38,237,37
2025-06-06,SKU0,68.63,0.0,72.77,277,34
2025-06-07,SKU0,67.8,0.0,68.37,266,22
2025-06-08,SKU0,70.83,0.0,68.47,291,32
2025-06-09,SKU0,71.81,0.0,67.92,266,27
2025-06-10,SKU0,69.62,0.0,67.36,309,25
2025-06-11,SKU0,69.98,0.0,73.92,272,33
2025-06-12,SKU0,69.33,0.0,71.6,276,24
2025-06-13,SKU0,60.13,13.76,63.77,396,63
2025-06-14,SKU0,68.94,0.0,73.14,250,18
2025-06-15,SKU0,69.55,0.0,67.96,261,34
2025-06-16,SKU0,69.48,0.0,69.64,252,20
2025-06-17,SKU0,69.17,0.0,67.54,251,18
2025-06-18,SKU0,69.61,0.0,68.74,257,21
2025-06-19,SKU0,72.6,0.0,68.03,297,32
2025-06-20,SKU0,70.97,0.0,64.29,262,17
2025-06-21,SKU0,70.87,0.0,68.87,283,27
2025-06-22,SKU0,71.94,0.0,70.55,243,36
2025-06-23,SKU0,68.69,0.0,73.55,262,36
2025-06-24,SKU0,69.5,0.0,69.23,267,17
2025-06-25,SKU0,69.83,0.0,71.6,268,33
2025-06-26,SKU0,69.67,0.0,70.02,247,24
2025-06-27,SKU0,71.13,0.0,73.94,261,31
2025-06-28,SKU0,66.5,0.0,71.69,284,21
2025-06-29,SKU0,62.62,9.16,68.59,408,77
2025-06-30,SKU0,71.11,0.0,76.13,284,30
2025-07-01,SKU0,71.56,0.0,74.54,231,26
2025-07-02,SKU0,70.6,0.0,66.69,258,32
2025-07-03,SKU0,71.44,0.0,68.88,268,23
2025-07-04,SKU0,71.12,0.0,75.47,254,22
2025-07-05,SKU0,70.57,0.0,67.67,288,35
2025-07-06,SKU0,69.81,0.0,76.85,279,39
2025-07-07,SKU0,69.99,0.0,70.48,274,29
2025-07-08,SKU0,68.21,0.0,67.36,273,20
2025-07-09,SKU0,68.37,0.0,76.25,262,34
2025-07-10,SKU0,70.42,0.0,69.63,276,22
2025-07-11,SKU0,72.18,0.0,68.68,266,24
2025-07-12,SKU0,71.28,0.0,74.64,257,44
2025-07-13,SKU0,67.63,0.0,71.8,264,26
2025-07-14,SKU0,69.74,0.0,76.79,267,35
2025-07-15,SKU0,68.57,0.0,72.5,261,21
2025-07-16,SKU0,68.56,0.0,71.29,271,23
2025-07-17,SKU0,69.66,0.0,68.13,276,28
2025-07-18,SKU0,69.61,0.0,69.71,285,31
2025-07-19,SKU0,71.58,0.0,72.57,261,35
2025-07-20,SKU0,68.26,0.0,72.24,269,38
2025-07-21,SKU0,69.16,0.0,71.63,269,18
2025-07-22,SKU0,72.8,0.0,73.83,244,29
2025-07-23,SKU0,67.51,0.0,71.64,288,19
2025-07-24,SKU0,69.54,0.0,73.46,281,29
2025-07-25,SKU0,73.05,0.0,64.57,259,29
2025-07-26,SKU0,73.29,0.0,71.18,280,38
2025-07-27,SKU0,69.77,0.0,70.69,287,43
2025-07-28,SKU0,70.65,0.0,72.66,281,27
2025-07-29,SKU0,71.13,0.0,66.43,235,26
2025-07-30,SKU0,70.62,0.0,64.63,264,34
2025-07-31,SKU0,70.19,0.0,62.97,286,26
2025-08-01,SKU0,70.56,0.0,72.6,236,20
2025-08-02,SKU0,70.97,0.0,70.79,281,48
2025-08-03,SKU0,70.18,0.0,69.71,273,18
2025-08-04,SKU0,70.73,0.0,69.22,280,31
2025-08-05,SKU0,71.13,0.0,74.82,248,28
2025-08-06,SKU0,69.23,0.0,75.53,287,32
2025-08-07,SKU0,69.69,0.0,73.23,268,19
2025-08-08,SKU0,70.37,0.0,69.38,298,25
2025-08-09,SKU0,69.49,0.0,65.72,246,36
2025-08-10,SKU0,71.56,0.0,71.09,280,37
2025-08-11,SKU0,68.24,0.0,66.88,259,21
2025-08-12,SKU0,74.27,0.0,72.08,288,31
2025-08-13,SKU0,67.62,0.0,73.43,262,41
2025-08-14,SKU0,69.31,0.0,74.34,249,28
2025-08-15,SKU0,72.02,0.0,70.75,269,24
2025-08-16,SKU0,70.49,0.0,71.6,286,24
2025-08-17,SKU0,71.05,0.0,65.58,293,33
2025-08-18,SKU0,72.95,0.0,67.97,289,30
2025-08-19,SKU0,69.62,0.0,67.86,256,28
2025-08-20,SKU0,70.23,0.0,73.13,274,30
2025-08-21,SKU0,70.97,0.0,64.87,273,26
2025-08-22,SKU0,70.29,0.0,67.78,284,34
2025-08-23,SKU0,69.89,0.0,62.3,245,36
2025-08-24,SKU0,70.45,0.0,67.21,257,33
2025-08-25,SKU0,72.45,0.0,68.86,262,27
2025-08-26,SKU0,68.23,0.0,68.2,267,25
2025-08-27,SKU0,66.28,0.0,70.45,269,32
2025-08-28,SKU0,69.77,0.0,68.81,290,28
2025-08-29,SKU0,70.82,0.0,70.7,261,22
2025-08-30,SKU0,70.25,0.0,66.8,297,40
2025-08-31,SKU0,70.97,0.0,66.46,276,29
2025-09-01,SKU0,71.72,0.0,69.13,266,28
2025-09-02,SKU0,70.83,0.0,71.18,256,23
2025-09-03,SKU0,69.37,0.0,68.1,282,26
2025-09-04,SKU0,71.16,0.0,68.28,261,27
2025-09-05,SKU0,69.92,0.0,75.4,247,31
2025-09-06,SKU0,52.14,23.41,72.11,384,92
