po_id,sku_id,vendor_id,po_date,po_qty,promised_delivery_date,inspection_results,manufacturing_costs,actual_receipt_qty
PO-SKU0-20250520-21d89,SKU0,Supplier 3,2025-05-20,425.0,2025-05-27,pass,46.27987924050832,425.0
PO-SKU0-20250521-45249,SKU0,Supplier 3,2025-05-21,447.0,2025-05-28,pass,46.27987924050832,447.0
PO-SKU0-20250522-0b692,SKU0,Supplier 3,2025-05-22,450.0,2025-05-29,pass,46.27987924050832,450.0
PO-SKU0-20250523-38841,SKU0,Supplier 3,2025-05-23,450.0,2025-05-30,pass,46.27987924050832,450.0
PO-SKU0-20250524-2ba38,SKU0,Supplier 3,2025-05-24,450.0,2025-05-31,pass,46.27987924050832,450.0
PO-SKU0-20250525-7b777,SKU0,Supplier 3,2025-05-25,450.0,2025-06-01,pass,46.27987924050832,450.0
PO-SKU0-20250526-c9ec9,SKU0,Supplier 3,2025-05-26,450.0,2025-06-02,pass,46.27987924050832,450.0
PO-SKU0-20250901-162fd,SKU0,Supplier 3,2025-09-01,179.0,2025-09-08,pass,46.27987924050832,179.0
PO-SKU0-20250902-c9a6f,SKU0,Supplier 3,2025-09-02,202.0,2025-09-09,pass,46.27987924050832,202.0
PO-SKU0-20250903-0a4bd,SKU0,Supplier 3,2025-09-03,228.0,2025-09-10,pass,46.27987924050832,228.0
PO-SKU0-20250904-5f7c5,SKU0,Supplier 3,2025-09-04,255.0,2025-09-11,pass,46.27987924050832,255.0
PO-SKU0-20250905-d53b8,SKU0,Supplier 3,2025-09-05,286.0,2025-09-12,pass,46.27987924050832,286.0
PO-SKU0-20250906-4a3d5,SKU0,Supplier 3,2025-09-06,378.0,2025-09-13,pass,46.27987924050832,378.0
PO-SKU0-20250907-e47c9,SKU0,Supplier 3,2025-09-07,450.0,2025-09-14,pass,46.27987924050832,450.0
PO-SKU0-20250908-81b87,SKU0,Supplier 3,2025-09-08,271.0,2025-09-15,pass,46.27987924050832,271.0
PO-SKU0-20251114-05eb5,SKU0,Supplier 3,2025-11-14,177.0,2025-11-21,pass,46.27987924050832,177.0
PO-SKU0-20251115-98d76,SKU0,Supplier 3,2025-11-15,212.0,2025-11-22,pass,46.27987924050832,212.0
PO-SKU1-20250520-fb58d,SKU1,Supplier 3,2025-05-20,1062.0,2025-06-19,pass,33.61676895373,1062.0
PO-SKU1-20250521-75e74,SKU1,Supplier 3,2025-05-21,1083.0,2025-06-20,pass,33.61676895373,1083.0
PO-SKU1-20250522-07379,SKU1,Supplier 3,2025-05-22,1090.0,2025-06-21,pass,33.61676895373,1090.0
PO-SKU1-20250523-758db,SKU1,Supplier 3,2025-05-23,1090.0,2025-06-22,pass,33.61676895373,1090.0
PO-SKU1-20250524-6a9ba,SKU1,Supplier 3,2025-05-24,1090.0,2025-06-23,pass,33.61676895373,1090.0
PO-SKU1-20250525-fa9b0,SKU1,Supplier 3,2025-05-25,1090.0,2025-06-24,pass,33.61676895373,1090.0
PO-SKU1-20250526-008da,SKU1,Supplier 3,2025-05-26,1090.0,2025-06-25,pass,33.61676895373,1090.0
PO-SKU1-20250527-47968,SKU1,Supplier 3,2025-05-27,1090.0,2025-06-26,pass,33.61676895373,1090.0
PO-SKU1-20250528-99c2c,SKU1,Supplier 3,2025-05-28,1090.0,2025-06-27,pass,33.61676895373,1090.0
PO-SKU1-20250529-d5ee3,SKU1,Supplier 3,2025-05-29,1090.0,2025-06-28,pass,33.61676895373,1090.0
PO-SKU1-20250530-f9d7f,SKU1,Supplier 3,2025-05-30,1090.0,2025-06-29,pass,33.61676895373,1090.0
PO-SKU1-20250531-d6f7a,SKU1,Supplier 3,2025-05-31,1090.0,2025-06-30,pass,33.61676895373,1090.0
PO-SKU1-20250601-c0316,SKU1,Supplier 3,2025-06-01,1090.0,2025-07-01,pass,33.61676895373,1090.0
PO-SKU1-20250602-e2d6a,SKU1,Supplier 3,2025-06-02,1090.0,2025-07-02,pass,33.61676895373,1090.0
PO-SKU1-20250603-128e2,SKU1,Supplier 3,2025-06-03,1090.0,2025-07-03,pass,33.61676895373,1090.0
PO-SKU1-20250604-50954,SKU1,Supplier 3,2025-06-04,1090.0,2025-07-04,pass,33.61676895373,1090.0
PO-SKU1-20250605-7f033,SKU1,Supplier 3,2025-06-05,1090.0,2025-07-05,pass,33.61676895373,1090.0
PO-SKU1-20250606-60abc,SKU1,Supplier 3,2025-06-06,1090.0,2025-07-06,pass,33.61676895373,1090.0
PO-SKU1-20250607-79b9d,SKU1,Supplier 3,2025-06-07,1090.0,2025-07-07,fail,33.61676895373,1090.0
PO-SKU1-20250608-577d3,SKU1,Supplier 3,2025-06-08,1090.0,2025-07-08,pass,33.61676895373,1090.0
PO-SKU1-20250609-04ebd,SKU1,Supplier 3,2025-06-09,1090.0,2025-07-09,pass,33.61676895373,1090.0
PO-SKU1-20250610-5195d,SKU1,Supplier 3,2025-06-10,1090.0,2025-07-10,pass,33.61676895373,1090.0
PO-SKU1-20250611-e010f,SKU1,Supplier 3,2025-06-11,1090.0,2025-07-11,pass,33.61676895373,1090.0
PO-SKU1-20250612-d39d9,SKU1,Supplier 3,2025-06-12,1090.0,2025-07-12,pass,33.61676895373,1090.0
PO-SKU1-20250613-dc5a1,SKU1,Supplier 3,2025-06-13,1090.0,2025-07-13,pass,33.61676895373,1090.0
PO-SKU1-20250614-47874,SKU1,Supplier 3,2025-06-14,1090.0,2025-07-14,pass,33.61676895373,1090.0
PO-SKU1-20250615-d979a,SKU1,Supplier 3,2025-06-15,1090.0,2025-07-15,pass,33.61676895373,1090.0
PO-SKU1-20250616-21afd,SKU1,Supplier 3,2025-06-16,1090.0,2025-07-16,pass,33.61676895373,1090.0
PO-SKU1-20250617-a4133,SKU1,Supplier 3,2025-06-17,1090.0,2025-07-17,pass,33.61676895373,1090.0
PO-SKU1-20250618-c176b,SKU1,Supplier 3,2025-06-18,1090.0,2025-07-18,pass,33.61676895373,1090.0
PO-SKU1-20250619-1e3ed,SKU1,Supplier 3,2025-06-19,37.0,2025-07-19,pass,33.61676895373,37.0
PO-SKU2-20250520-78192,SKU2,Supplier 1,2025-05-20,88.0,2025-05-30,pass,30.688019348284204,88.0
PO-SKU2-20250521-211c6,SKU2,Supplier 1,2025-05-21,88.0,2025-05-31,pass,30.688019348284204,88.0
PO-SKU2-20250522-3710e,SKU2,Supplier 1,2025-05-22,88.0,2025-06-01,fail,30.688019348284204,88.0
PO-SKU2-20250523-f4b80,SKU2,Supplier 1,2025-05-23,88.0,2025-06-02,pass,30.688019348284204,88.0
PO-SKU2-20250524-3f64c,SKU2,Supplier 1,2025-05-24,88.0,2025-06-03,pass,30.688019348284204,88.0
PO-SKU2-20250525-30be4,SKU2,Supplier 1,2025-05-25,88.0,2025-06-04,pass,30.688019348284204,88.0
PO-SKU2-20250526-7c9ed,SKU2,Supplier 1,2025-05-26,88.0,2025-06-05,pass,30.688019348284204,88.0
PO-SKU2-20250527-b1390,SKU2,Supplier 1,2025-05-27,88.0,2025-06-06,pass,30.688019348284204,88.0
