vendor_id,supplier_name,defect_rate,lead_time_days,quality_score
Supplier 3,Supplier 3,0.0038,7,4.5
Supplier 3,Supplier 3,0.0613,7,4.5
Supplier 3,Supplier 3,0.0051,7,4.5
Supplier 3,Supplier 3,0.0484,7,4.5
Supplier 3,Supplier 3,0.0148,7,4.5
Supplier 3,Supplier 3,0.0224,7,4.5
Supplier 3,Supplier 3,0.0086,7,4.5
Supplier 3,Supplier 3,0.0089,7,4.5
Supplier 3,Supplier 3,0.0143,7,4.5
Supplier 3,Supplier 3,0.0386,7,4.5
Supplier 3,Supplier 3,0.0052,7,4.5
Supplier 3,Supplier 3,0.0382,7,4.5
Supplier 3,Supplier 3,0.0137,7,4.5
Supplier 3,Supplier 3,0.0088,7,4.5
Supplier 3,Supplier 3,0.0021,7,4.5
Supplier 3,Supplier 3,0.0132,7,4.5
Supplier 3,Supplier 3,0.0314,7,4.5
Supplier 3,Supplier 3,0.0047,7,4.5
Supplier 3,Supplier 3,0.0101,7,4.5
Supplier 3,Supplier 3,0.0456,7,4.5
Supplier 3,Supplier 3,0.0183,7,4.5
Supplier 3,Supplier 3,0.0311,7,4.5
Supplier 3,Supplier 3,0.029,7,4.5
Supplier 3,Supplier 3,0.0331,7,4.5
Supplier 3,Supplier 3,0.0039,7,4.5
Supplier 3,Supplier 3,0.0455,7,4.5
Supplier 3,Supplier 3,0.0154,7,4.5
Supplier 3,Supplier 3,0.008,7,4.5
Supplier 3,Supplier 3,0.018,7,4.5
Supplier 3,Supplier 3,0.0022,7,4.5
Supplier 3,Supplier 3,0.0119,7,4.5
Supplier 3,Supplier 3,0.0208,7,4.5
Supplier 3,Supplier 3,0.057,7,4.5
Supplier 3,Supplier 3,0.0179,7,4.5
Supplier 3,Supplier 3,0.0023,7,4.5
Supplier 3,Supplier 3,0.0153,7,4.5
Supplier 3,Supplier 3,0.0066,7,4.5
Supplier 3,Supplier 3,0.0235,7,4.5
Supplier 3,Supplier 3,0.001,7,4.5
Supplier 3,Supplier 3,0.0296,7,4.5
Supplier 3,Supplier 3,0.0127,7,4.5
Supplier 3,Supplier 3,0.0106,7,4.5
Supplier 3,Supplier 3,0.014,7,4.5
Supplier 3,Supplier 3,0.0651,7,4.5
Supplier 3,Supplier 3,0.0358,7,4.5
Supplier 3,Supplier 3,0.0099,7,4.5
Supplier 3,Supplier 3,0.0076,7,4.5
Supplier 3,Supplier 3,0.0158,7,4.5
Supplier 3,Supplier 3,0.01,7,4.5
Supplier 3,Supplier 3,0.0156,7,4.5
Supplier 3,Supplier 3,0.0057,7,4.5
Supplier 3,Supplier 3,0.0058,7,4.5
Supplier 3,Supplier 3,0.0155,7,4.5
Supplier 3,Supplier 3,0.0182,7,4.5
Supplier 3,Supplier 3,0.0065,7,4.5
Supplier 3,Supplier 3,0.002,7,4.5
Supplier 3,Supplier 3,0.0125,7,4.5
Supplier 3,Supplier 3,0.0433,7,4.5
Supplier 3,Supplier 3,0.006,7,4.5
Supplier 3,Supplier 3,0.0033,7,4.5
Supplier 3,Supplier 3,0.0141,7,4.5
Supplier 3,Supplier 3,0.0261,7,4.5
Supplier 3,Supplier 3,0.0114,7,4.5
Supplier 3,Supplier 3,0.0005,7,4.5
Supplier 3,Supplier 3,0.0018,7,4.5
Supplier 3,Supplier 3,0.0037,7,4.5
Supplier 3,Supplier 3,0.0102,7,4.5
Supplier 3,Supplier 3,0.0246,7,4.5
Supplier 3,Supplier 3,0.045,7,4.5
Supplier 3,Supplier 3,0.0669,7,4.5
Supplier 3,Supplier 3,0.0583,7,4.5
Supplier 3,Supplier 3,0.0019,7,4.5
Supplier 3,Supplier 3,0.0453,7,4.5
Supplier 3,Supplier 3,0.025,7,4.5
Supplier 3,Supplier 3,0.0139,7,4.5
Supplier 3,Supplier 3,0.0222,7,4.5
Supplier 3,Supplier 3,0.0228,7,4.5
Supplier 3,Supplier 3,0.007,7,4.5
Supplier 3,Supplier 3,0.024,7,4.5
Supplier 3,Supplier 3,0.0053,7,4.5
Supplier 3,Supplier 3,0.021,7,4.5
Supplier 3,Supplier 3,0.0007,7,4.5
Supplier 3,Supplier 3,0.0034,7,4.5
Supplier 3,Supplier 3,0.0195,7,4.5
Supplier 3,Supplier 3,0.02,7,4.5
